,dropoff_node,pickup_node,distance,dropoff_longitude,dropoff_latitude,pickup_longitude,pickup_latitude
0,0,0,0.014249278051881602,-75.4,41.1,-75.4,41.1
1,63,1,0.04061712328756006,-75.4,40.7,-75.3,40.6
2,64,1,0.05860316342781079,-75.3,40.7,-75.3,40.6
3,2,2,0.009338823534041628,-74.7,40.8,-74.7,40.8
4,3,3,0.01621376461048899,-74.5,40.5,-74.5,40.5
5,4,4,0.006929261793295506,-74.4,40.7,-74.4,40.7
6,5,5,0.01910301165161072,-74.3,40.7,-74.3,40.7
7,6,6,0.004912342211198187,-74.3,40.8,-74.3,40.8
8,65,7,0.016379492360876727,-74.3,40.6,-74.2,40.6
9,7,7,0.006622837236178323,-74.2,40.6,-74.2,40.6
10,12,7,0.005878997278441246,-74.1,40.6,-74.2,40.6
11,8,8,0.006828275990322684,-74.2,40.7,-74.2,40.7
12,9,9,0.01023009567927833,-74.2,40.8,-74.2,40.8
13,66,10,0.009034035643065527,-74.1,41.1,-74.2,41.1
14,11,11,0.013059094953342579,-74.1,40.4,-74.1,40.4
15,12,12,0.01222688787185406,-74.1,40.6,-74.1,40.6
16,13,13,0.021512706038124982,-74.1,40.7,-74.1,40.7
17,21,13,0.04097492589263416,-74.0,40.7,-74.1,40.7
18,14,13,0.004621251886661002,-74.1,40.8,-74.1,40.7
19,13,14,0.027139994104639666,-74.1,40.7,-74.1,40.8
20,9,14,0.08714577218087452,-74.2,40.8,-74.1,40.8
21,14,14,0.008679320172912917,-74.1,40.8,-74.1,40.8
22,22,14,0.027077695526694617,-74.0,40.8,-74.1,40.8
23,14,15,0.026675008603560143,-74.1,40.8,-74.1,40.9
24,67,15,0.08230326784520069,-74.2,40.9,-74.1,40.9
25,15,15,0.022089786400463607,-74.1,40.9,-74.1,40.9
26,16,16,0.005315915725445255,-74.1,41.0,-74.1,41.0
27,68,17,0.05309085273378254,-74.2,41.2,-74.1,41.2
28,18,18,0.01744788153398233,-74.0,39.6,-74.0,39.6
29,25,18,0.02964425542941357,-73.9,39.6,-74.0,39.6
30,19,19,0.021259780494821374,-74.0,40.5,-74.0,40.5
31,20,20,0.02115943483932896,-74.0,40.6,-74.0,40.6
32,28,20,0.03374893443417971,-73.9,40.6,-74.0,40.6
33,21,20,0.051713050921422504,-74.0,40.7,-74.0,40.6
34,29,20,0.0415924294673868,-73.9,40.7,-74.0,40.6
35,20,21,0.07982421224909018,-74.0,40.6,-74.0,40.7
36,28,21,0.07487580418504203,-73.9,40.6,-74.0,40.7
37,13,21,0.05047616725953448,-74.1,40.7,-74.0,40.7
38,21,21,0.021683184089139707,-74.0,40.7,-74.0,40.7
39,29,21,0.05856232116992058,-73.9,40.7,-74.0,40.7
40,14,21,0.09146773005272474,-74.1,40.8,-74.0,40.7
41,22,21,0.035000388990467826,-74.0,40.8,-74.0,40.7
42,30,21,0.07477539524082208,-73.9,40.8,-74.0,40.7
43,31,21,0.10929034628709183,-73.9,40.9,-74.0,40.7
44,20,22,0.10602714698888074,-74.0,40.6,-74.0,40.8
45,21,22,0.03582792964775983,-74.0,40.7,-74.0,40.8
46,29,22,0.07025273832237294,-73.9,40.7,-74.0,40.8
47,14,22,0.03115514598913924,-74.1,40.8,-74.0,40.8
48,22,22,0.0198529001711464,-74.0,40.8,-74.0,40.8
49,30,22,0.045742218618354556,-73.9,40.8,-74.0,40.8
50,37,22,0.10956745000226821,-73.8,40.8,-74.0,40.8
51,23,22,0.023439316232933223,-74.0,40.9,-74.0,40.8
52,31,22,0.089270619137328,-73.9,40.9,-74.0,40.8
53,22,23,0.10394885764186013,-74.0,40.8,-74.0,40.9
54,23,23,0.02234500274419531,-74.0,40.9,-74.0,40.9
55,31,23,0.029660378031979462,-73.9,40.9,-74.0,40.9
56,24,24,0.006305221486993672,-74.0,41.0,-74.0,41.0
57,25,25,0.01882983397626365,-73.9,39.6,-73.9,39.6
58,18,26,0.02841698931406881,-74.0,39.6,-73.9,39.7
59,27,27,0.02027944969875611,-73.9,40.4,-73.9,40.4
60,69,27,0.01973308490835235,-73.8,40.4,-73.9,40.4
61,70,28,0.08885326633276264,-73.8,40.5,-73.9,40.6
62,20,28,0.02343329519306231,-74.0,40.6,-73.9,40.6
63,28,28,0.018025662699087557,-73.9,40.6,-73.9,40.6
64,35,28,0.0141557266150434,-73.8,40.6,-73.9,40.6
65,21,28,0.10064845594940819,-74.0,40.7,-73.9,40.6
66,29,28,0.04049942444035952,-73.9,40.7,-73.9,40.6
67,20,29,0.07852099131382817,-74.0,40.6,-73.9,40.7
68,28,29,0.04367814498849924,-73.9,40.6,-73.9,40.7
69,21,29,0.04926561729184651,-74.0,40.7,-73.9,40.7
70,29,29,0.025017329324936874,-73.9,40.7,-73.9,40.7
71,36,29,0.05817158431492437,-73.8,40.7,-73.9,40.7
72,22,29,0.05681650269432864,-74.0,40.8,-73.9,40.7
73,30,29,0.03561104070668686,-73.9,40.8,-73.9,40.7
74,37,29,0.07481532276212435,-73.8,40.8,-73.9,40.7
