,pickup_longitude,pickup_latitude,dropoff_latitude,dropoff_longitude,edge,distance
0,-75.4,41.1,41.1,-75.4,1,0.014249278051881602
1,-75.3,40.6,40.7,-75.4,2,0.04061712328756006
2,-75.3,40.6,40.7,-75.3,3,0.05860316342781079
3,-74.7,40.8,40.8,-74.7,4,0.009338823534041628
4,-74.5,40.5,40.5,-74.5,5,0.01621376461048899
5,-74.4,40.7,40.7,-74.4,6,0.006929261793295506
6,-74.3,40.7,40.7,-74.3,7,0.01910301165161072
7,-74.3,40.8,40.8,-74.3,8,0.004912342211198187
8,-74.2,40.6,40.6,-74.3,9,0.016379492360876727
9,-74.2,40.6,40.6,-74.2,10,0.006622837236178323
10,-74.2,40.6,40.6,-74.1,11,0.005878997278441246
11,-74.2,40.7,40.7,-74.2,12,0.006828275990322684
12,-74.2,40.8,40.8,-74.2,13,0.01023009567927833
13,-74.2,41.1,41.1,-74.1,14,0.009034035643065527
14,-74.1,40.4,40.4,-74.1,15,0.013059094953342579
15,-74.1,40.6,40.6,-74.1,16,0.01222688787185406
16,-74.1,40.7,40.7,-74.1,17,0.021512706038124982
17,-74.1,40.7,40.7,-74.0,18,0.04097492589263416
18,-74.1,40.7,40.8,-74.1,19,0.004621251886661002
19,-74.1,40.8,40.7,-74.1,20,0.027139994104639666
20,-74.1,40.8,40.8,-74.2,21,0.08714577218087452
21,-74.1,40.8,40.8,-74.1,22,0.008679320172912917
22,-74.1,40.8,40.8,-74.0,23,0.027077695526694617
23,-74.1,40.9,40.8,-74.1,24,0.026675008603560143
24,-74.1,40.9,40.9,-74.2,25,0.08230326784520069
25,-74.1,40.9,40.9,-74.1,26,0.022089786400463607
26,-74.1,41.0,41.0,-74.1,27,0.005315915725445255
27,-74.1,41.2,41.2,-74.2,28,0.05309085273378254
28,-74.0,39.6,39.6,-74.0,29,0.01744788153398233
29,-74.0,39.6,39.6,-73.9,30,0.02964425542941357
30,-74.0,40.5,40.5,-74.0,31,0.021259780494821374
31,-74.0,40.6,40.6,-74.0,32,0.02115943483932896
32,-74.0,40.6,40.6,-73.9,33,0.03374893443417971
33,-74.0,40.6,40.7,-74.0,34,0.051713050921422504
34,-74.0,40.6,40.7,-73.9,35,0.0415924294673868
35,-74.0,40.7,40.6,-74.0,36,0.07982421224909018
36,-74.0,40.7,40.6,-73.9,37,0.07487580418504203
37,-74.0,40.7,40.7,-74.1,38,0.05047616725953448
38,-74.0,40.7,40.7,-74.0,39,0.021683184089139707
39,-74.0,40.7,40.7,-73.9,40,0.05856232116992058
40,-74.0,40.7,40.8,-74.1,41,0.09146773005272474
41,-74.0,40.7,40.8,-74.0,42,0.035000388990467826
42,-74.0,40.7,40.8,-73.9,43,0.07477539524082208
43,-74.0,40.7,40.9,-73.9,44,0.10929034628709183
44,-74.0,40.8,40.6,-74.0,45,0.10602714698888074
45,-74.0,40.8,40.7,-74.0,46,0.03582792964775983
46,-74.0,40.8,40.7,-73.9,47,0.07025273832237294
47,-74.0,40.8,40.8,-74.1,48,0.03115514598913924
48,-74.0,40.8,40.8,-74.0,49,0.0198529001711464
49,-74.0,40.8,40.8,-73.9,50,0.045742218618354556
50,-74.0,40.8,40.8,-73.8,51,0.10956745000226821
51,-74.0,40.8,40.9,-74.0,52,0.023439316232933223
52,-74.0,40.8,40.9,-73.9,53,0.089270619137328
53,-74.0,40.9,40.8,-74.0,54,0.10394885764186013
54,-74.0,40.9,40.9,-74.0,55,0.02234500274419531
55,-74.0,40.9,40.9,-73.9,56,0.029660378031979462
56,-74.0,41.0,41.0,-74.0,57,0.006305221486993672
57,-73.9,39.6,39.6,-73.9,58,0.01882983397626365
58,-73.9,39.7,39.6,-74.0,59,0.02841698931406881
59,-73.9,40.4,40.4,-73.9,60,0.02027944969875611
60,-73.9,40.4,40.4,-73.8,61,0.01973308490835235
61,-73.9,40.6,40.5,-73.8,62,0.08885326633276264
62,-73.9,40.6,40.6,-74.0,63,0.02343329519306231
63,-73.9,40.6,40.6,-73.9,64,0.018025662699087557
64,-73.9,40.6,40.6,-73.8,65,0.0141557266150434
65,-73.9,40.6,40.7,-74.0,66,0.10064845594940819
66,-73.9,40.6,40.7,-73.9,67,0.04049942444035952
67,-73.9,40.7,40.6,-74.0,68,0.07852099131382817
68,-73.9,40.7,40.6,-73.9,69,0.04367814498849924
69,-73.9,40.7,40.7,-74.0,70,0.04926561729184651
70,-73.9,40.7,40.7,-73.9,71,0.025017329324936874
71,-73.9,40.7,40.7,-73.8,72,0.05817158431492437
72,-73.9,40.7,40.8,-74.0,73,0.05681650269432864
73,-73.9,40.7,40.8,-73.9,74,0.03561104070668686
74,-73.9,40.7,40.8,-73.8,75,0.07481532276212435
75,-73.9,40.8,40.7,-74.0,76,0.07083591075749877
76,-73.9,40.8,40.7,-73.9,77,0.05345945719690827
77,-73.9,40.8,40.7,-73.8,78,0.07393823744839809
78,-73.9,40.8,40.8,-74.0,79,0.039881544968222396
79,-73.9,40.8,40.8,-73.9,80,0.03269733336975454
80,-73.9,40.8,40.8,-73.8,81,0.056922885692041125
81,-73.9,40.8,40.9,-74.0,82,0.07852346090818191
82,-73.9,40.8,40.9,-73.9,83,0.07048271680631094
83,-73.9,40.9,40.8,-74.0,84,0.08162604804176599
84,-73.9,40.9,40.8,-73.9,85,0.03904977235363231
85,-73.9,40.9,40.8,-73.8,86,0.08658520753569378
86,-73.9,40.9,40.9,-73.9,87,0.016355777929017826
87,-73.9,41.0,41.0,-73.9,88,0.009290860547976223
88,-73.8,40.1,40.1,-73.8,89,0.006366688385657283
89,-73.8,40.3,40.3,-73.8,90,0.007715604253726454
90,-73.8,40.6,40.6,-73.9,91,0.10247127670390059
91,-73.8,40.6,40.6,-73.8,92,0.018943992169661604
92,-73.8,40.6,40.6,-73.7,93,0.05420266297201092
93,-73.8,40.6,40.7,-73.9,94,0.09635533948835351
94,-73.8,40.6,40.7,-73.8,95,0.0570682319174093
95,-73.8,40.6,40.7,-73.7,96,0.07017672405755039
96,-73.8,40.6,40.8,-73.8,97,0.10568912839549521
97,-73.8,40.7,40.6,-73.8,98,0.051377294257182994
98,-73.8,40.7,40.7,-73.9,99,0.028923311212379486
99,-73.8,40.7,40.7,-73.8,100,0.023758855255144314
100,-73.8,40.7,40.7,-73.7,101,0.043565011719092724
101,-73.8,40.7,40.8,-73.9,102,0.06628201244126054
102,-73.8,40.7,40.8,-73.8,103,0.0563591381155783
103,-73.8,40.7,40.8,-73.7,104,0.10836011186780042
104,-73.8,40.8,40.7,-73.9,105,0.06705671825938829
105,-73.8,40.8,40.7,-73.8,106,0.04198415447621867
106,-73.8,40.8,40.8,-73.9,107,0.0372891730335247
107,-73.8,40.8,40.8,-73.8,108,0.01768491345266376
108,-73.8,40.8,40.8,-73.7,109,0.053185393417322466
109,-73.8,40.8,40.9,-73.9,110,0.1004836429474938
110,-73.8,40.9,40.8,-73.8,111,0.013634654121030215
111,-73.8,40.9,40.9,-73.8,112,0.014284603779660766
112,-73.8,40.9,40.9,-73.7,113,0.05657489821466979
113,-73.8,41.0,41.0,-73.8,114,0.036067860585944994
114,-73.7,40.2,40.2,-73.7,115,0.004587550544679821
115,-73.7,40.7,40.7,-73.8,116,0.019812217846572267
116,-73.7,40.7,40.7,-73.7,117,0.00987555185759467
117,-73.7,40.8,40.8,-73.8,118,0.028617917761434727
118,-73.7,40.8,40.8,-73.7,119,0.019250984984335685
119,-73.7,40.9,40.9,-73.7,120,0.009677760743063594
120,-73.7,41.1,41.1,-73.7,121,0.020357280957928152
121,-73.6,40.4,40.4,-73.6,122,0.03239798495277066
122,-73.6,40.4,40.4,-73.5,123,0.025265765335734835
123,-73.6,40.6,40.7,-73.6,124,0.012803753355952985
124,-73.5,40.2,40.2,-73.5,125,0.006806049147635717
125,-73.5,40.6,40.6,-73.5,126,0.01116131479709831
126,-73.5,40.7,40.8,-73.5,127,0.02558630919066286
127,-73.5,40.8,40.8,-73.5,128,0.02679153457717177
128,-73.5,40.9,40.9,-73.5,129,0.03481062671794662
129,-73.4,40.9,41.0,-73.5,130,0.10941856062843332
130,-73.0,40.5,40.4,-72.9,131,0.062178026022057506
131,-72.8,40.5,40.5,-72.8,132,0.011283927862226038
132,-71.9,42.5,42.5,-71.8,133,0.06107876387092651
133,-69.0,40.5,40.5,-69.0,134,0.018386384364528833
134,-0.1,0.1,0.1,-0.1,135,0.010541322307946003
135,0.0,0.0,0.0,0.0,136,0.010961439834545407
136,0.1,0.0,0.0,0.1,137,0.012929546937151355
137,40.7,-74.0,-74.0,40.7,138,0.02075790383794342
138,40.7,-74.0,-74.0,40.8,139,0.036978114604825904
139,40.7,-74.0,-73.9,40.8,140,0.08960538268918974
140,40.8,-74.0,-74.0,40.7,141,0.0454947915600975
141,40.8,-74.0,-74.0,40.8,142,0.017840043610933446
142,40.8,-74.0,-73.9,40.8,143,0.016229141012393578
143,40.8,-73.9,-74.0,40.7,144,0.09515489419362941
144,40.8,-73.9,-74.0,40.8,145,0.03406628379363591
145,40.8,-73.9,-73.9,40.8,146,0.03355660329950064
